persona,Core Objective,Internal Thinker Name,Customer-Friendly Thinker Name,Internal Doer Name,Customer-Friendly Doer Name,Doer Type,flag,reason_doers,reason_thinkers
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Current Usage Monitoring Doer,Track Current Product Usage,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Baseline Usage Calculator Doer,Calculate Customer Baseline Usage,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Usage Drop Detector Doer,Detect Drop in Customer Activity,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Usage Anomaly Diagnoser Doer,Analyze Activity Fluctuations,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Usage Risk Recommender Doer,Recommend Engagement Actions,Recommender,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Usage Risk Flag Executor Doer,Flag Accounts with Usage Risk,Executor,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Ticket Volume Surge Detector Doer,Monitor Support Ticket Surges,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Escalation Pattern Diagnoser Doer,Analyze Escalation Patterns,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Resolution Delay Diagnoser Doer,Detect Delayed Resolutions,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Support Sentiment Analyzer Doer,Analyze Support Sentiment Trends,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Support Risk Recommender Doer,Recommend Support Interventions,Recommender,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Support Risk Flag Executor Doer,Flag Support Risk Accounts,Executor,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Sentiment Signal Extractor Doer,Extract Customer Sentiment Signals,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Negative Sentiment Surge Detector Doer,Detect Rising Negative Sentiment,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Sentiment Trend Diagnoser Doer,Analyze Sentiment Trends,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Emotional Risk Recommender Doer,Recommend Emotional Risk Actions,Recommender,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Sentiment Risk Flag Executor Doer,Flag Accounts with Sentiment Risk,Executor,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Contract Term Change Detector Doer,Detect Contract Changes,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Renewal Risk Diagnoser Doer,Analyze Renewal Risks,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Financial Risk Diagnoser Doer,Analyze Financial Signals,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Contract Risk Recommender Doer,Recommend Renewal Strategies,Recommender,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Contract Risk Flag Executor Doer,Flag Accounts with Contract Risk,Executor,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Customer Journey Deviation Thinker,Accelerate Customer Journey Success,Journey Health Monitor Doer,Track Journey Progression,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Customer Journey Deviation Thinker,Accelerate Customer Journey Success,Milestone Deviation Detector Doer,Detect Journey Milestone Deviations,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Customer Journey Deviation Thinker,Accelerate Customer Journey Success,Journey Deviation Diagnoser Doer,Analyze Journey Deviations,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Customer Journey Deviation Thinker,Accelerate Customer Journey Success,Journey Correction Recommender Doer,Recommend Journey Corrections,Recommender,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Customer Journey Deviation Thinker,Accelerate Customer Journey Success,Journey Risk Flag Executor Doer,Flag Journey Risk Accounts,Executor,1,,
Team Leaders,Detect and Predict Customer Risks Early,Root Cause Analysis Thinker,Resolve Risks for Long-Term Customer Growth,Risk Pattern Analyzer Doer,Analyze Risk Patterns,Diagnoser,1,,
Team Leaders,Detect and Predict Customer Risks Early,Root Cause Analysis Thinker,Resolve Risks for Long-Term Customer Growth,Root Cause Hypothesis Generator Doer,Generate Root Cause Hypotheses,Diagnoser,1,,
Team Leaders,Detect and Predict Customer Risks Early,Root Cause Analysis Thinker,Resolve Risks for Long-Term Customer Growth,Root Cause Validator Doer,Validate Root Causes,Diagnoser,1,,
Team Leaders,Detect and Predict Customer Risks Early,Root Cause Analysis Thinker,Resolve Risks for Long-Term Customer Growth,Root Cause Recommendation Doer,Recommend Root Cause Solutions,Recommender,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Intervention Planning Thinker,Drive Targeted Customer Interventions,Risk-to-Action Mapper Doer,Map Risks to Actions,Recommender,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Intervention Planning Thinker,Drive Targeted Customer Interventions,Intervention Timing Optimizer Doer,Optimize Intervention Timing,Recommender,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Intervention Planning Thinker,Drive Targeted Customer Interventions,Priority-Based Intervention Planner Doer,Prioritize Intervention Efforts,Recommender,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Personalized Playbook Thinker,Empower Personalized Customer Journeys,Customer Context Extractor Doer,Extract Customer Context,Detector,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Personalized Playbook Thinker,Empower Personalized Customer Journeys,Playbook Matching Recommender Doer,Match Best Playbooks,Recommender,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Personalized Playbook Thinker,Empower Personalized Customer Journeys,Playbook Adaptation Planner Doer,Adapt Playbooks Dynamically,Recommender,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Customer Challenge Identification Thinker,Identify Fundamental Challenges,Product Usage Challenge Extractor Doer,Extract Product Usage Challenges,Diagnoser,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Customer Challenge Identification Thinker,Identify Fundamental Challenges,Support Challenge Extractor Doer,Extract Support Interaction Challenges,Diagnoser,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Customer Challenge Identification Thinker,Identify Fundamental Challenges,CSM Engagement Challenge Extractor Doer,Extract CSM Engagement Challenges,Diagnoser,1,,
Team Leaders,Guide Intelligent and Dynamic CSM Interventions,Customer Challenge Identification Thinker,Identify Fundamental Challenges,Challenge Resolution Recommender Doer,Recommend Solutions for Fundamental Challenges,Recommender,1,,
Team Leaders,Enable Managerial Planning and Prioritization,Account Prioritization Thinker,Prioritize High-Impact Customer Accounts,Account Scoring Engine Doer,Score Account Health and Growth,Detector,1,,
Team Leaders,Enable Managerial Planning and Prioritization,Account Prioritization Thinker,Prioritize High-Impact Customer Accounts,Priority Segment Identifier Doer,Identify Priority Accounts,Detector,1,,
Team Leaders,Enable Managerial Planning and Prioritization,Account Prioritization Thinker,Prioritize High-Impact Customer Accounts,Account Prioritization Planner Doer,Plan Focus Areas,Recommender,1,,
Team Leaders,Enable Managerial Planning and Prioritization,Team Resource Planning Thinker,Optimize Team Focus and Resources,Team Load Monitor Doer,Monitor Team Load,Detector,1,,
Team Leaders,Enable Managerial Planning and Prioritization,Team Resource Planning Thinker,Optimize Team Focus and Resources,Resource Gap Diagnoser Doer,Diagnose Resource Gaps,Diagnoser,1,,
Team Leaders,Enable Managerial Planning and Prioritization,Team Resource Planning Thinker,Optimize Team Focus and Resources,Capacity Planning Recommender Doer,Recommend Resource Planning,Recommender,1,,
Team Leaders,Enable Managerial Planning and Prioritization,Customer Maturity Strategy Thinker,Advance Customer Maturity and Growth,Customer Maturity Assessor Doer,Assess Customer Maturity,Detector,2,measure the gap,measure the gap
Team Leaders,Enable Managerial Planning and Prioritization,Customer Maturity Strategy Thinker,Advance Customer Maturity and Growth,Maturity Stage Diagnoser Doer,Diagnose Maturity Gaps,Diagnoser,2,measure the gap,measure the gap
Team Leaders,Enable Managerial Planning and Prioritization,Customer Maturity Strategy Thinker,Advance Customer Maturity and Growth,Growth Path Recommender Doer,Recommend Growth Steps,Recommender,2,measure the gap,measure the gap
Executive Visionaries,Empower Executives with Strategic Post-Sale Foresight,Retention Scenario Planning Thinker,Simulate and Improve Customer Retention,Churn Risk Simulator Doer,Simulate Churn Risks,Simulator,1,,
Executive Visionaries,Empower Executives with Strategic Post-Sale Foresight,Retention Scenario Planning Thinker,Simulate and Improve Customer Retention,Retention Scenario Generator Doer,Generate Retention Scenarios,Simulator,1,,
Executive Visionaries,Empower Executives with Strategic Post-Sale Foresight,Retention Scenario Planning Thinker,Simulate and Improve Customer Retention,Retention Improvement Recommender Doer,Recommend Retention Improvements,Recommender,1,,
Executive Visionaries,Empower Executives with Strategic Post-Sale Foresight,Expansion Scenario Planning Thinker,Expand Customer Relationships Strategically,Expansion Opportunity Simulator Doer,Simulate Expansion Opportunities,Simulator,1,,
Executive Visionaries,Empower Executives with Strategic Post-Sale Foresight,Expansion Scenario Planning Thinker,Expand Customer Relationships Strategically,Expansion Readiness Diagnoser Doer,Diagnose Expansion Readiness,Diagnoser,1,,
Executive Visionaries,Empower Executives with Strategic Post-Sale Foresight,Expansion Scenario Planning Thinker,Expand Customer Relationships Strategically,Expansion Play Recommender Doer,Recommend Expansion Plays,Recommender,1,,
Executive Visionaries,Empower Executives with Strategic Post-Sale Foresight,Portfolio Risk Simulation Thinker,Predict and Strengthen Portfolio Health,Portfolio Risk Aggregator Doer,Aggregate Portfolio Risks,Simulator,1,,
Executive Visionaries,Empower Executives with Strategic Post-Sale Foresight,Portfolio Risk Simulation Thinker,Predict and Strengthen Portfolio Health,Portfolio Health Simulator Doer,Simulate Portfolio Health,Simulator,1,,
Executive Visionaries,Empower Executives with Strategic Post-Sale Foresight,Portfolio Risk Simulation Thinker,Predict and Strengthen Portfolio Health,Portfolio Strategy Recommender Doer,Recommend Portfolio Strategies,Recommender,1,,
Growth Enablers,Automate Time-Consuming and Repetitive Post-Sale Operations,Task Automation Thinker,Automate Repetitive Post-Sale Operations,Repetitive Task Detector Doer,Detect Repetitive Tasks,Detector,1,,
Growth Enablers,Automate Time-Consuming and Repetitive Post-Sale Operations,Task Automation Thinker,Automate Repetitive Post-Sale Operations,Task Automation Recommender Doer,Recommend Tasks for Automation,Recommender,1,,
Growth Enablers,Automate Time-Consuming and Repetitive Post-Sale Operations,Task Automation Thinker,Automate Repetitive Post-Sale Operations,Automation Trigger Executor Doer,Trigger Task Automation,Executor,1,,
Growth Enablers,Automate Time-Consuming and Repetitive Post-Sale Operations,CSM Workflow Learning Thinker,Enhance CSM Workflow Efficiency,Workflow Behavior Monitor Doer,Monitor CSM Behaviors,Detector,1,,
Growth Enablers,Automate Time-Consuming and Repetitive Post-Sale Operations,CSM Workflow Learning Thinker,Enhance CSM Workflow Efficiency,Workflow Optimization Diagnoser Doer,Diagnose Workflow Inefficiencies,Diagnoser,1,,
Growth Enablers,Automate Time-Consuming and Repetitive Post-Sale Operations,CSM Workflow Learning Thinker,Enhance CSM Workflow Efficiency,Workflow Enhancement Recommender Doer,Recommend Workflow Improvements,Recommender,1,,
Executive Visionaries,Orchestrate Cross-Level Actions Seamlessly,Action Coordination Thinker,Align Cross-Team Customer Actions,Cross-Team Action Mapper Doer,Map Cross-Team Dependencies,Detector,1,,
Executive Visionaries,Orchestrate Cross-Level Actions Seamlessly,Action Coordination Thinker,Align Cross-Team Customer Actions,Action Prioritization Diagnoser Doer,Diagnose Coordination Gaps,Diagnoser,1,,
Executive Visionaries,Orchestrate Cross-Level Actions Seamlessly,Action Coordination Thinker,Align Cross-Team Customer Actions,Coordination Strategy Recommender Doer,Recommend Coordination Strategies,Recommender,1,,
